ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2024-10-10 10:20:24 122m





Relative time;Ch1
s;V
0.00032738;0.0025040691
0.00032739;0.01702767
0.0003274;-0.0055089521
0.00032741;-0.0075122074
0.00032742;0.011518718
0.00032743;0.0055089521
0.00032744;-0.0065105797
0.00032745;0.0025040691
0.00032746;0.012019532
0.00032747;-0.0035056968
0.00032748;-0.0015024415
0.00032749;0
0.0003275;-0.003004883
0.00032751;-0.0010016277
0.00032752;-0.0055089521
0.00032753;-0.0035056968
0.00032754;0.0040065106
0.00032755;-0.0090146489
0.00032756;-0.00050081383
0.00032757;0.003004883
0.00032758;-0.00050081383
0.00032759;0.0045073244
0.0003276;0
0.00032761;-0.00050081383
0.00032762;-0.0020032553
0.00032763;0.003004883
0.00032764;-0.003004883
0.00032765;-0.0040065106
0.00032766;0
0.00032767;-0.0025040691
0.00032768;-0.0015024415
0.00032769;0
0.0003277;-0.0055089521
0.00032771;-0.0020032553
0.00032772;0
0.00032773;0.0015024415
0.00032774;0.0025040691
0.00032775;0.00050081383
0.00032776;0.0010016277
0.00032777;0.0020032553
0.00032778;0.003004883
0.00032779;0.0075122074
0.0003278;0.003004883
0.00032781;0.0050081383
0.00032782;0.00050081383
0.00032783;0.00050081383
0.00032784;0.0010016277
0.00032785;-0.0040065106
0.00032786;0.0025040691
0.00032787;0.003004883
0.00032788;0.0065105797
0.00032789;-0.0025040691
0.0003279;0.0065105797
0.00032791;0.0015024415
0.00032792;-0.0065105797
0.00032793;-0.003004883
0.00032794;0.0015024415
0.00032795;0.003004883
0.00032796;-0.0020032553
0.00032797;0.0050081383
0.00032798;0.0050081383
0.00032799;0.0010016277
0.000328;0.00050081383
0.00032801;-0.0060097659
0.00032802;-0.003004883
0.00032803;0.0055089521
0.00032804;-0.0020032553
0.00032805;0.008513835
0.00032806;0.0010016277
0.00032807;0.0020032553
0.00032808;-0.0025040691
0.00032809;0.0060097659
0.0003281;-0.00050081383
0.00032811;0.0015024415
0.00032812;0
0.00032813;-0.00050081383
0.00032814;0
0.00032815;-0.0015024415
0.00032816;-0.0065105797
